"","consumer","resource"
"1496",75,127
"1497",75,135
"1498",91,125
"1499",91,127
"1500",91,129
"1501",91,131
"1502",91,133
"1503",91,137
"1504",91,141
"1505",91,143
"1506",91,145
"1507",91,149
"1508",91,151
"1509",91,153
"1510",91,155
"1511",91,157
"1512",91,159
"1513",91,161
"1514",91,165
"1515",91,167
"1516",91,169
"1517",91,171
"1518",91,172
"1519",91,174
"1520",93,171
"1521",94,127
"1522",94,131
"1523",94,143
"1524",94,151
"1525",94,155
"1526",94,159
"1527",94,161
"1528",94,165
"1529",94,167
"1530",94,169
"1531",94,171
"1532",94,174
"1533",95,127
"1534",95,131
"1535",95,143
"1536",95,151
"1537",95,155
"1538",95,159
"1539",95,161
"1540",95,165
"1541",95,167
"1542",95,169
"1543",95,171
"1544",95,174
"1545",96,127
"1546",96,131
"1547",96,143
"1548",96,151
"1549",96,155
"1550",96,159
"1551",96,161
"1552",96,165
"1553",96,167
"1554",96,169
"1555",96,174
"1556",100,127
"1557",100,135
"1558",100,143
"1559",100,151
"1560",100,155
"1561",100,157
"1562",100,159
"1563",100,172
"1564",100,174
"1565",100,180
"1566",102,127
"1567",102,131
"1568",102,135
"1569",102,143
"1570",102,151
"1571",102,155
"1572",102,157
"1573",102,159
"1574",102,167
"1575",102,169
"1576",102,171
"1577",102,172
"1578",102,174
"1579",102,180
"1580",103,139
"1581",103,160
"1582",103,164
"1583",103,179
"1584",104,139
"1585",104,160
"1586",104,164
"1587",104,179
"1588",105,127
"1589",105,131
"1590",105,135
"1591",105,143
"1592",105,151
"1593",105,155
"1594",105,159
"1595",105,167
"1596",105,169
"1597",105,171
"1598",105,172
"1599",105,174
"1600",105,180
"1601",106,127
"1602",106,131
"1603",106,135
"1604",106,139
"1605",106,143
"1606",106,151
"1607",106,155
"1608",106,159
"1609",106,160
"1610",106,164
"1611",106,167
"1612",106,168
"1613",106,169
"1614",106,171
"1615",106,172
"1616",106,174
"1617",106,179
"1618",106,180
"1619",107,149
"1620",107,155
"1621",107,157
"1622",107,161
"1623",107,165
"1624",107,172
"1625",107,174
"1626",107,177
"1627",107,180
"1628",108,149
"1629",108,155
"1630",108,157
"1631",108,161
"1632",108,165
"1633",108,172
"1634",108,174
"1635",108,177
"1636",108,180
"1637",110,125
"1638",110,129
"1639",110,133
"1640",110,136
"1641",110,141
"1642",110,145
"1643",110,149
"1644",110,153
"1645",110,157
"1646",110,160
"1647",110,161
"1648",110,164
"1649",110,165
"1650",110,172
"1651",110,174
"1652",110,177
"1653",110,180
"1654",111,157
"1655",111,160
"1656",111,165
"1657",111,172
"1658",111,174
"1659",111,180
"1660",112,160
"1661",112,165
"1662",113,160
"1663",114,125
"1664",114,129
"1665",114,133
"1666",114,137
"1667",114,141
"1668",114,143
"1669",114,145
"1670",114,153
"1671",114,157
"1672",114,161
"1673",114,172
"1674",114,174
"1675",115,160
"1676",115,164
"1677",116,125
"1678",116,129
"1679",116,133
"1680",116,137
"1681",116,141
"1682",116,145
"1683",116,153
"1684",116,157
"1685",116,161
"1686",117,125
"1687",117,129
"1688",117,133
"1689",117,137
"1690",117,141
"1691",117,145
"1692",117,153
"1693",118,157
"1694",118,172
"1695",118,174
"1696",118,180
"1697",119,125
"1698",119,129
"1699",119,133
"1700",119,137
"1701",119,141
"1702",119,145
"1703",119,153
"1704",119,161
"1705",122,160
"1706",122,164
"1707",123,160
"1708",123,164
"1709",102,165
"1710",103,165
"1711",104,165
"1712",105,165
"1713",106,165
"1714",107,127
"1715",107,131
"1716",107,135
"1717",107,143
"1718",107,147
"1719",107,151
"1720",107,159
"1721",107,167
"1722",107,169
"1723",107,170
"1724",107,171
"1725",108,127
"1726",108,131
"1727",108,135
"1728",108,143
"1729",108,147
"1730",108,151
"1731",108,159
"1732",108,167
"1733",108,169
"1734",108,170
"1735",108,171
"1736",109,127
"1737",109,135
"1738",110,127
"1739",110,131
"1740",110,135
"1741",110,139
"1742",110,143
"1743",110,147
"1744",110,151
"1745",110,155
"1746",110,159
"1747",110,167
"1748",110,169
"1749",110,171
"1750",110,179
"1751",111,127
"1752",111,131
"1753",111,135
"1754",111,139
"1755",111,143
"1756",111,151
"1757",111,155
"1758",111,159
"1759",111,167
"1760",111,169
"1761",111,170
"1762",111,171
"1763",111,179
"1764",112,127
"1765",112,131
"1766",112,135
"1767",112,139
"1768",112,167
